,time_taken,delivery_person_age,delivery_person_ratings,beeline_distance,type_of_order_Buffet,type_of_order_Meal,type_of_order_Snack,type_of_vehicle_bicycle,type_of_vehicle_electric_scooter,type_of_vehicle_scooter
0,24,37,4.9,3.0251492856775037,0,0,1,0,0,0
1,33,34,4.5,20.183529728733618,0,0,1,0,0,1
2,26,23,4.4,1.5527578022548725,0,0,0,0,0,0
3,21,38,4.7,7.790401360105752,1,0,0,0,0,0
4,30,32,4.6,6.2101379656240985,0,0,1,0,0,1
5,26,22,4.8,4.610365144357059,1,0,0,0,0,0
6,40,33,4.7,16.600361127912656,0,1,0,0,0,1
7,32,35,4.6,20.20525323529291,0,1,0,0,0,0
8,34,22,4.8,19.975520086221444,1,0,0,0,0,0
9,46,36,4.2,10.280582064621875,0,0,1,0,0,0
10,23,21,4.7,6.242318682701243,0,1,0,0,0,0
11,21,23,4.7,13.787860239172547,0,0,0,0,0,1
12,20,34,4.3,2.9302578007621216,1,0,0,0,0,0
13,41,24,4.7,19.39661829066159,0,0,1,0,0,1
14,20,29,4.5,13.763977224427641,1,0,0,0,1,0
15,33,35,4.0,6.21800119018663,0,1,0,0,0,1
16,40,33,4.2,16.849939918016496,0,0,1,0,0,0
17,41,34,4.9,10.75710880025813,0,0,1,0,0,0
18,15,21,4.7,4.5405743887312955,0,1,0,0,0,0
19,36,25,4.1,12.256076445468295,0,0,1,0,0,0
20,26,31,4.7,19.618739348801018,0,1,0,0,1,0
21,20,37,5.0,1.5581322655568652,0,0,1,0,0,0
22,39,33,4.3,20.180635114114715,0,1,0,0,0,1
23,34,25,4.0,6.116971669682334,1,0,0,0,0,0
24,15,29,4.5,17.07559440107296,0,1,0,0,1,0
25,18,27,5.0,4.470286489434607,0,0,1,0,0,0
26,38,35,4.3,13.68204452608078,0,0,0,0,0,1
27,47,32,4.0,13.973182653917394,1,0,0,0,0,0
28,12,23,4.8,16.85361872985359,1,0,0,0,1,0
29,26,31,4.8,4.674172124263269,0,0,0,0,0,0
30,22,36,4.1,7.601616771071091,0,0,0,0,0,0
31,21,26,4.3,7.720324413179964,1,0,0,0,0,0
